"","id","书名","评论数","作者","出版时间","出版社","折扣价","原价","折扣","分类","简介","year"
"11",11,"世界如此险恶，你要内心强大（天涯论坛+豆瓣小组百万粉丝膜拜贴《...",134309,"石勇 著","2011-07-01","文化发展出版社（原印刷工业出版社）","￥21.50","￥29.80","7.2折","成功/励志","★深入破解控制我们的心理法则，给每一个想保护和改变自己的人,★一本教会你看清自己和世界的书，一本让你和真正的自己相遇的书,★《天涯论坛+豆瓣【我爱心理学】小组百万粉丝膜拜贴,★《在这个险恶的世界，你需要在心理上变得强大》+《装13社会，博弈法则》全新升级版,★真理是需要恶狠狠地说出来的！,★建议阅读人群：职场、官场、商场拼杀人士，大学生，喜欢思考人生思考社会人士，管理者，教师，心理咨询师等,★这不单单是一本励志书！励志类的东东除了短时间内给你一种“勇气”和“观念”以外，没有能力让你得到真正改变。但是，作者",2012
"12",12,"学会爱自己（全3册）",296783,"(美)克雷文　著，(美)柏斯玛　绘，刘敏　译","2010-12-22","青岛出版社","￥21.20","￥36.00","5.9折","童书","学会爱自己第3辑（全7册）,学会爱自己第1辑,第2辑（全7册）,学会爱自己第2辑（全4册）",2012
"13",13,"神奇校车·图画书版（全11册）",451227,"(美)乔安娜柯尔 著 ,(美)布鲁斯·迪根 图","2011-01-01","贵州人民出版社","￥83.20","￥132.00","6.3折","童书","相关推荐：神奇校车阅读版（全16册）——新版神奇校车第三辑，经典8册,全新8册，科学桥梁书回馈新老读者,相关推荐：神奇校车动画版（共10册）——新版神奇校车第二辑，蒲公英童书馆倾情奉献，引领科学阅读的新时尚！,相关推荐：神奇校车桥梁书版（共20册）——新版神奇校车第五辑，继续打造神奇校车的科学冒险之旅！,相关推荐：神奇校车人文版（共3册）——新版神奇校车第四辑，感受不同国度的人文历史！,　　对重译本《神奇校车》我们重点注意并解决了几个问题：,　　一、首先确认《神奇校车》是科学图画书，并非简单的科普读物。所",2012
"14",14,"不一样的卡梅拉（第二辑 全三册）",141871,"(法)约里波瓦 著，(法)艾利施 图，郑迪蔚 译","2009-04-01","二十一世纪出版社集团有限公司发行部","￥20.90","￥26.40","7.9折","童书","《不一样的卡梅拉》系列故事讲的是母鸡卡梅拉和她的儿女们卡梅利多和卡门的历险故事。卡梅拉家族里的每个人都是那样的与众不同。敢于幻想，更敢于去尝试别人不敢想的事情。书中充满了惊险的情节和法式的幽默。当然，也不乏那些捧着肚子哈哈大笑的段子。这套书的特点是那种小口袋式的，小32开，轻松、便携。每册文字大致在1500—2000字左右，阅读这套书，起步阅读的孩子很容易独立自主地从中获得自我的乐趣和完成全篇的成就感。,整个故事内容极具创意，充满想象色彩，插图精美，小鸡卡梅拉和卡梅利多的形象惹人喜爱。",2012
"15",15,"目送：龙应台",247713,"龙应台　著","2009-09-01","生活.读书.新知三联书店","￥30.00","￥39.00","7.7折","文学","　　龙应台的文字，「横眉冷对千夫指」时，寒气逼人，如刀光剑影。「俯首甘为孺子牛」时，却温柔婉转彷佛微风吹过麦田。从纯真喜悦的《孩子你慢慢来》到坦率得近乎「痛楚」的《亲爱的安德烈》，龙应台的写作境界逐渐转往人生的深沉。,　　《目送》的七十四篇散文，写父亲的逝、母亲的老、儿子的离、朋友的牵挂、兄弟的携手共行，写失败和脆弱、失落和放手，写缠绵不舍和绝然的虚无。她写尽了幽微，如烛光冷照山壁。,　　这是一本生死笔记，深邃，忧伤，美丽。,　　*犀利的一支笔也有*难以言尽的时候继《孩子你慢慢来》、《亲爱的安德烈》后龙应",2012
"16",16,"莫言作品系列--蛙（新版）（2012年度诺贝尔文学奖获得者，中国著...",41206,"莫言　著","2012-10-01","上海文艺出版社","￥26.20","￥35.00","7.5折","小说","　　2012年诺贝尔文学奖授奖词：,　,　　·莫言是个诗人，他扯下程式化的宣传画，使个人从茫茫无名大众中突出出来。他用嘲笑和讽刺的笔触，攻击历史和谬误以及贫乏和政治虚伪。他有技巧的揭露了人类*阴暗的页面，在不经意间给象征赋予了形象。,　　·莫言有着无与伦比的想象力。他很好的描绘了自然；他基本知晓所有与饥饿相关的事情；他向我们展示了一个没有真理、常识或者同情的世界，这个世界中的人鲁莽、无助且可笑。,　　·莫言的故事有着神秘和寓意，让所有的价值观得到体现。莫言的人物充满活力，他们甚至用不道德的办法和手段实现他",2012
"17",17,"白鹿原（茅盾文学奖获奖经典作品，权威未删节平装版）",60419,"陈忠实 著","2011-09-01","北京十月文艺出版社","￥24.00","￥32.00","7.5折","","",2012
"18",18,"史蒂夫·乔布斯传（2014修订版）：乔布斯留给世人的礼物！永远的...",131390,"(美) 沃尔特?艾萨克森(Walter Isaacson) 著，管延圻等译","2011-10-01","中信出版社","￥51.00","￥68.00","7.5折","传记","《史蒂夫·乔布斯传》在2年后的今天，又推出了修订版。在原有《乔布斯传》的基础上，修订了全部译文，采纳了读者对翻译的众多建议，使得整体译文更加完善，更加精良。,此外，修订版一大亮点是新增补作者亲自撰写的后记，描述了乔布斯去世后的相关过程，包括葬礼等，对读者有新的吸引点，也更完美了此部经典著作。,全新版式设计，封面设计，也使得这本经典人物传记以新的形态面对苹果粉和乔布斯迷。,*后，乔布斯照片使用铜版纸作插页，更有质感。",2012
"19",19,"小熊宝宝绘本（全15册）",345777,"(日)佐佐木洋子 文/图，蒲蒲兰 译","2007-05-01","连环画出版社","￥54.20","￥75.00","7.2折","童书","情节简练，细节反复，培养幼儿语言发展。生活启蒙，引导宝宝养成良好生活习惯。,底衬附有专家的指导文字，提醒爸爸妈妈们亲子共读时不要忽略精心布置的细节哦！,圆角设计不伤手，可放心交由孩子自主阅读，让宝宝及早体验阅读的乐趣！,蒲蒲兰绘本馆超级畅销书！当当终身五星级童书！",2012
"20",20,"别相信任何人",197636,"(英)S. J. 沃森 著， 胡绯 译","2013-12-10","中信出版社","￥21.80","￥29.00","7.5折","小说","　　别动情，别认真，别让自己陷进去,　　一本挑战你心理承受极限的小说，为你层层揭开人性的残酷真相,　　一举攻占37国小说畅销榜首，三大奥斯卡影后争演电影女主角,　　出版前各国陷入版权争夺大战，出版后疯狂刷新畅销记录,　　台湾诚品网络书店文学类TOP,1；英国《星期日泰唔士报》TOP,7；美国《纽约时报》TOP,10；法国推理惊悚小说TOP3；亚马逊书店心理悬疑小说,TOP,2；澳大利亚出版首周登上畅销榜TOP5；加拿大出版三天夺取推理小说冠军；荷兰尚未出版即入围“2011**惊悚小说”,保加利亚全国书榜T",2012
"21",21,"莫言作品系列--丰乳肥臀（新版）（2012年度诺贝尔文学奖获得者，...",38056,"莫言　著","2012-06-01","上海文艺出版社","￥38.40","￥48.00","8.0折","小说","　　2012年诺贝尔文学奖授奖词：,　,　　·莫言是个诗人，他扯下程式化的宣传画，使个人从茫茫无名大众中突出出来。他用嘲笑和讽刺的笔触，攻击历史和谬误以及贫乏和政治虚伪。他有技巧的揭露了人类*阴暗的页面，在不经意间给象征赋予了形象。,　　·莫言有着无与伦比的想象力。他很好的描绘了自然；他基本知晓所有与饥饿相关的事情；他向我们展示了一个没有真理、常识或者同情的世界，这个世界中的人鲁莽、无助且可笑。,　　·莫言的故事有着神秘和寓意，让所有的价值观得到体现。莫言的人物充满活力，他们甚至用不道德的办法和手段实现他",2012
"22",22,"和朋友们一起想办法(全八册）",308252,"(英)戈尔德萨克　编，(英)斯莫尔曼　绘，柳漾　译","2011-10-01","湖北美术出版社","￥48.00","￥72.00","6.7折","童书","在一些家长看来，孩子碰到问题无法自己解决，需要大人包揽代劳。实际上，即使是很小的孩子，在家长或老师的启发和引导下，也会运用一些策略和办法来解决问题。《和朋友们一起想办法》系列故事符合4~8岁儿童的心理特征和接受能力，通过生动有趣的农场故事，教会孩子用正面积极的态度面对困难，不怕挫折，善于思考问题，寻找解决的方法。",2012
"23",23,"那些年，我们一起追的女孩",52974,"九把刀　著","2012-01-01","现代出版社有限公司","￥18.10","￥28.00","6.5折","青春文学","感动无数人的青春纯爱小说，,华语网络文学作家九把刀之作！,海报随书送，赠送超值精美剧照实用手册。,连续7年在台湾地区畅销榜；,大陆狂销近100万册，引领青春热血风潮！,热血+欢笑+心跳+青春+初恋+感动=《那些年》,同名电影荣获金马奖，风靡亚洲！,九把刀得意地说：“一群新人毫无商业企算的一次热血，才*终有了《那些年》的那些成功。,相关推荐：熊猫来了（范玮琪限量亲笔签名，随机发送，先到先得！关于高龄产妇与早产儿照顾的点点滴滴和范范*深情、*温柔的妈妈心事，只说给你听！）,点击了解。,刘真超强222瘦身法——",2012
"24",24,"如丧——我们终于老得可以谈谈未来",84301,"高晓松　著","2012-05-01","武汉出版社","￥26.60","￥32.00","8.3折","文学","　　时隔十二年，高晓松第二本文集,首次披露一个文艺中年的成长史.,　,与岁月对望，所有人都老了，再没人死于心碎.,　,全记录高晓松一代人成长的文艺时代，随书赠歌词作品，全文本奉献高晓松多年来创作的电影故事脚本,更多推荐：,《相逢如初见，回首是一生》（预定可得当当独家限量签名本，随书独家附赠超精美白落梅经典作品集明信片1套,）,张曼娟旅行散文：时间的旅人（在每一个人生阶段旅行，在每一片回忆的风景里努力修补自己）",2012
"25",25,"FBI教你读心术：钻石升级版",110857,"(美)纳瓦罗　等著，王丽　译","2011-06-01","吉林文史出版社","￥19.70","￥32.80","6.0折","成功/励志","　　这是一本有事实根据的书：书里所及皆以科学事实与实际试验结果为基础，而非个人意见或臆测--撷取自心理学、神经生物学、医学、社会学、犯罪学、传播学及人类学的**发现。作为FBI首席专家，乔·纳瓦罗是**有资格帮你理解非语言沟通的人，让你在**时间看透对方！,　　想要干坏事的人会不自主地出现哪些反应？,　　“保持静止状态”绝非坐以待毙，反而是我们人类下意识的自救方式！,　　她用手摸着“颈窝”，是什么含义？,　　眼睛不会说谎？错了！脚才是不会说谎的身体部位。,　　两手手指交错握着，是暗示权威还是欺骗？,　　★",2012
"26",26,"于丹：重温最美古诗词",94140,"于丹 著","2012-06-01","北京联合出版公司","￥30.40","￥38.00","8.0折","文学","　　央视3套春节《丹韵词音》引发古诗词鉴赏热潮，继《论语心得》后又一央视力推经典栏目，于丹17年古诗词教学积淀，首度爆发！,　　诗歌是中国人的宗教。,　　——林语堂,　　我一直深深地相信，每一个中国人生命的深处都蛰伏着诗意，也许人的年岁越长越需要这样一种温暖，需要我们生命年华中的浪漫，让我们从现实的纠葛中拥有一种挣脱地心引力的力量。很多人会疑惑时光走到了今天，诗对我们究竟是一种必需品还是一种奢侈品？可能相比于现在的诸多压力，诗歌变成了一件奢侈品。但是我想，如果我们真的愿意相信诗歌是中国人生命中的必需品，我",2012
"27",27,"斯凯瑞金色童书·第一辑（全4册）",220048,"(美)斯凯瑞 著，李晓评 译","2007-05-01","贵州人民出版社","￥49.70","￥83.20","6.0折","童书","蒲公英童书馆，好书连连看，更多精彩，请点击：,斯凯瑞金色童书·**辑（全4册）,斯凯瑞金色童书·第二辑（全2册）,斯凯瑞金色童书·第三辑（全3册）,斯凯瑞金色童书·第四辑（全2册）,斯凯瑞金色童书·第五辑（全4册）,斯凯瑞金色童书·第六辑（全4册）,斯凯瑞金色童书·第七辑（全3册）,斯凯瑞金色童书超级礼盒装,《斯凯瑞金色童书·**辑》：经典、值得收藏的一辑！,《轱辘轱辘转》——小车迷的爱！,《忙忙碌碌镇》——认识职业和社会分工！,《会讲故事的单词书》——汇集孩子熟悉的英文词汇！,《斯凯瑞*受欢迎的故事》—",2012
"28",28,"追风筝的人（已出新版，新版地址：http://product.dangdang.com/...",95514,"(美)胡赛尼(Hosseini，K.) 著，李继宏 译","2006-05-01","上海人民出版社","￥18.00","￥25.00","7.2折","小说","《追风筝的人》已出新版，新版购买地址：http://product.dangdang.com/23274638.html,这本小说太令人震撼，很长一段时日，让我所读的一切都相形失色。文学与生活中的所有重要主题，都交织在这部惊世之作里：爱、恐惧、愧疚、赎罪……,——伊莎贝拉·阿连德,★一个阿富汗作家的处女作,★一部以史诗般的历史景观和荡气回肠的人性故事，深深地打动全世界各地亿万读者心的文学经典",2012
"29",29,"如何说孩子才会听 怎么听孩子才肯说(软精装)——父母与孩子沟通的...",82776,"(美) 阿黛尔?法伯和伊莱恩?玛兹丽施 著 安燕玲译","2007-10-01","中央编译出版社","￥17.40","￥26.80","6.5折","亲子/家教","正版权威2012全新修订版平装《如何说孩子才会听,怎么听孩子才肯说》,正版权威2013五周年软精装珍藏版《如何说孩子才会听,怎么听孩子才肯说》,正版权威精华版附CD《如何说孩子才会听,怎么听孩子才肯说》,★美国家庭教育十大畅销书之一，销售300多万册，被译为30多种文字风靡全球。长踞美国畅销书排行榜，出版20多年长销不衰。,　　★美国*著名的亲子教育书系作者，送给中国父母的*好礼物——爱的技巧和训练。,　　“你这孩子怎么那么不听话？”面对孩子的行为做父母的常常忍不住脱口而出。是的，天凉了让加衣服就是不加，",2012
"30",30,"蛙（2012年度诺贝尔文学奖获得者中国著名作家莫言作品）",98767,"莫言　著","2012-10-01","作家出版社","￥16.00","￥32.00","5.0折","小说","中国首位诺贝尔文学奖获得者莫言作品。　　,2012年诺贝尔文学奖授奖词：,　　·莫言是个诗人，他扯下程式化的宣传画，使个人从茫茫无名大众中突出出来。他用嘲笑和讽刺的笔触，攻击历史和谬误以及贫乏和政治虚伪。他有技巧的揭露了人类*阴暗的页面，在不经意间给象征赋予了形象。,　　·莫言有着无与伦比的想象力。他很好的描绘了自然；他基本知晓所有与饥饿相关的事情；他向我们展示了一个没有真理、常识或者同情的世界，这个世界中的人鲁莽、无助且可笑。,　　·莫言的故事有着神秘和寓意，让所有的价值观得到体现。莫言的人物充满活力，",2012
"31",31,"重遇未知的自己：爱上生命中的不完美",71996,"张德芬 著","2011-12-01","湖南文艺出版社","￥30.10","￥32.00","9.4折","成功/励志","重磅推荐：,《重遇未知的自己：爱上生命中的不完美（张德芬**增订本）》：张德芬分享**关于成长的生活心得；摘选十二篇代表性内文精心配乐，一起倾听“德芬悦读”,继百万畅销书《遇见未知的自己》后，张德芬*用心的一部作品,直抵内心深处的成长感悟，读懂未知的自己,　　温暖、纯净的原创精美插图，感动每个都市灵魂",2012
"32",32,"气场——改变全球1600万人命运的强大蝴蝶效应，比尔·盖茨、奥巴...",131463,"(美)菲尔 著，章岩 译","2010-11-01","重庆出版社","￥14.00","￥28.00","5.0折","成功/励志","编辑推荐：,◆CNN、NBC、CBS、ABC等全世界各大电视节目及媒重点推荐！,◆《纽约时报》、《华尔街日报》、《今日美国》、《新闻周刊》、《人物》、《时代》《环球时报》、《芝加哥时报》、《哈特福新闻报》、《出版人周刊》《奥马哈世界前锋报》等160家媒体专题报道！,◎由1个人1项运动1本书改变全球1600万人命运的强大蝴蝶效应。,◎比尔·盖茨、奥巴马、奥普拉、马云……全球政治圈、财经圈金字塔尖人物都在运用的成功秘密！,◎三秒钟陌生人游戏测试你的气场◆28天气场培训彻底改变你的气场。,◎气场改变命运，气场决",2012
"33",33,"小兔汤姆系列（第一辑）（全六册 ）",173589,"(法)玛莉-阿丽娜·巴文　图，(法)克斯多夫·勒·马斯尼　文，梅莉　译","2008-01-01","海燕出版社","￥29.60","￥45.00","6.6折","童书","　　和所有的妈妈一样，我深爱自己的宝贝，我也相信，妈妈们也和我一样，有这样一些感受：当孩子在幼儿园门口搂着你的脖子哭的时候，心是疼的；当宝贝生病的时候，心是焦愁的，恨自己不能替代他；如果宝贝犯错了，有时还是成心的，心里会充满忧虑；家里来了其他孩子，他嫉妨，更有严重的，看看儿子和我的对话：“妈妈，你不能叫爸爸亲爱的！”“？”“他太淘气！”“那叫谁呀？”“我呀！”哈！其实开心之余，心里还是有些担忧……,　　言归正传，今天想和大家介绍一个新出版的系列，是法国芒果青少年出版社的品种产品，几年来，已经陆续出版近二十",2012
"34",34,"子宫健康书《女生这样做，吃不胖、晒不黑、人不老》（荣登2011年...",95446,"张家蓓　著","2012-08-01","上海科学普及出版社","￥16.00","￥32.00","5.0折","保健/养生","　　◆,子宫健康书,　　◆,荣登2011年金石堂/博客来网络书店年度畅销榜,　　◆,子宫健康，人才健康！,　　◆,子宫，是女生健康的**守门员！忽视“她”的声音，小心子宫病变上身！,　　◆,子宫，是女生窈窕动人、青春永驻的根本，更是一生健康活力的关键！,　　◆,顾好子宫，自然变瘦、变美、变年轻！",2012
"35",35,"少有人走的路：心智成熟的旅程",86247,"(美)派克　著，于海生　译","2007-01-01","吉林文史出版社","￥19.20","￥26.00","7.4折","成功/励志","该页面为老版本，售完即止。点击查看本书**版:《少有人走的路：心智成熟的旅程》**白金升级版,　　这是一本震惊世界的名著，出版后虽未作任何宣传，但经人们口耳相传，迅速畅销起来，它曾在美国*著名的《纽约时报》畅销书排行榜上连续上榜近二十年，创下了出版史上的一大奇迹！,　　这不仅仅是一本书；它是一种出自内心的慷慨行动。,　　　　　　　,——菲莉斯·特洛克丝《华盛顿邮报》,　　这是一部罕见的心理学杰作，早在1983年，它便成为有口皆碑的超级畅销读物。作者灵活运用传统心理分析方法去解决人生的冲突和难题。它的有效和",2012
"36",36,"三毛：撒哈拉的故事",280952,"三毛 著","2013-12-11","北京十月文艺出版社","￥11.80","￥24.00","4.9折","文学","推荐：,　　★三毛华文世界里的传奇女子，她的足迹遍及世界各地,　　★此篇是三毛*受欢迎的作品，倾倒了全世界的华文读者,　　★封面由台湾著名设计师聂永真倾情设计,　　★全方位、多角度、立体化地展现了别样的三毛",2012
"37",37,"围城",46369,"钱钟书 著","2003-12-01","人民文学出版社","￥16.20","￥19.00","8.5折","小说","在这本书里，我想写现代中国某一部分社会、某一类人物。写这类人，我没忘记他们是人类，只是人类，具有无毛两足动物的基本根性。角色当然是虚构的，但是有考据癖的人也当然不肯错过索隐的机会、放弃附会的权利的。",2012
"38",38,"岛（令整个欧洲潸然泪下的生死悲欢）",252993,"(英)维多利亚·希斯洛普 　著，陈新宇　译","2009-04-01","南海出版社","￥21.30","￥28.00","7.6折","小说","",2012
"39",39,"时寒冰说：欧债真相警示中国",28572,"时寒冰　著","2012-09-01","机械工业出版社","￥32.30","￥39.90","8.1折","经济","　　穿越，还是轮回？,　　序曲，还是尾声？,　　一场危机参透的不只是经济,　　国家博弈,世事变迁,人生机缘,　　直到2020年，欧债危机都将影响全球,　　看破货币大格局,把握未来大趋势,　　债务是一条决定全球大趋势的带血的主线。如果弄清了债务主线在未来趋势中的作用，就等于借助了一双洞悉世界格局和发展趋势的慧眼。欧债危机之后，马上要轮到的是谁？中国该如何应对？企业家、投资者、普通百姓该怎么办？,　　凡是触碰美国*核心利益的国家，不是遭到军事打击，就是遭到严厉制裁，不是发生动荡，就是发生经济或金融危机。这种规",2012
"40",40,"不一样的卡梅拉（1-11册）全球畅销1600万册，当当网终身五星级童...",93986,"(法)约里波瓦　著，(法)艾利施图；郑迪蔚　译","2006-09-01","二十一世纪出版社","￥67.00","￥84.80","7.9折","童书","　　“生活中肯定还有比睡觉更好玩的事情！”大小卡梅拉们一直都抱有这样的信念。他们执著地追求那些种群中认为不可想象的事情。去看大海、去摘星星、去追回逃逸的太阳……一路上处处坎坷、历经艰难，但总是逢凶化吉、化险为夷。*后还能收获超乎想象的回报和异乎寻常的果实。,　　我们可以把卡梅拉当作一种象征，一种成长路上必不可少的“伴侣”。,　　读不一样的卡梅拉，成就与众不同的你！,　　《不一样的卡梅拉》系列故事讲的是母鸡卡梅拉和她的儿女们卡梅利多和卡门的历险故事。卡梅拉家族里的每个人都是那样的与众不同。敢于幻想，更敢于去",2012
"41",41,"重口味心理学",130728,"姚尧 著","2012-05-01","中国友谊出版公司","￥16.40","￥32.80","5.0折","心理学","不看小清新，就看重口味。,电影有cult片和恐怖片，心理学有重口味！,重口味是生活方式，是发泄，也是寄托，是所有人的潜在欲望。,想要重口味，就看《重口味心理学》吧！,★欲望心理学：更深度解读人性本质""欲望""，只要看透欲望，没有搞不定的人,★盲目心理学：看透人的非理性，就能看透人心。范玮琪、中国金融博物馆书院联袂推荐,★怪异性格心理学：为什么才华横溢的人多数性格古怪？教你认清自己和身边的怪脾气,★自我疗愈心理学：只有心理医生知道的秘密！劝人一万句“你要坚强”，不如看一段自愈系,★宅腐控心理学：国内首部宅腐控",2012
"42",42,"六度人脉",69437,"李维文 著","2012-06-01","湖南文艺出版社","￥24.60","￥32.80","7.5折","成功/励志","★《带队伍：不会带团队，你就只能干到死！》（MBA商学院*受欢迎的团队管理高级课程！）,★《说服：怎样有技巧地说服他人？》（哈佛MBA*受欢迎的口才训练课!）,　　★全球**效直接的人脉法则！,改变1.6亿人命运的神奇力量！翻开本书，你将掌握通往财富、成功的终极秘密！,　　★找出正确的人→用*快的方法认识他→让他帮你做成事！,　　★每个人的背后都隐藏着250个客户——千万不要忽视任何一个不起眼的人脉关系。,　　★只要你愿意，你可以和任何你想要认识的陌生人成为朋友，并让他帮助你成事，成功！,　　★随书附赠：",2012
"43",43,"小屁孩日记（1~10,全10册）套装——令人爆笑的另类日记（《纽约时...",39897,"(美) 杰夫?金尼 著，朱力安 译","2009-03-01","新世纪出版社","￥102.80","￥149.00","6.9折","童书","爱幻想，迷故事，有深度，零负担——儿童文学馆>>",2012
"44",44,"FPA性格色彩入门－跟乐嘉色眼识人",96423,"乐嘉 著","2012-05-01","湖南文艺出版社","￥26.90","￥39.00","6.9折","","",2012
"45",45,"遇见未知的自己：都市身心灵修行课（修订新版）",267129,"张德芬　著","2012-10-01","湖南文艺出版社","￥22.80","￥29.00","7.9折","成功/励志","重磅推荐：,张德芬身心灵经典作品全五册（新版）：《遇见未知的自己》《活出全新的自己》《遇见心想事成的自己》《重遇未知的自己》《舍得让你爱的人受苦》，华语世界畅销五百万册爱藏版。,《重遇未知的自己：爱上生命中的不完美（张德芬增订本）》：张德芬分享关于成长的生活心得；摘选十二篇代表性内文精心配乐，一起倾听“德芬悦读”,《遇见未知的自己》，这本畅销过百万、影响了数千万读者的身心灵小说，在出版5年后，即将以全新的姿态面世。更多心灵成长智慧和力量，帮助我们完美活出自己想要的人生！,温暖推荐1：德芬精心打磨、潜心修订",2012
